CustomerID,Gender,Age,Location,Product,Category,PurchaseAmount
160,Male,51,Bangalore,Tennis Racket,Sports,18901
161,Female,56,Bangalore,Laptop,Electronics,37905
162,Male,54,Delhi,Handbag,Fashion,26524
163,Female,49,Bangalore,Headphones,Electronics,42943
164,Male,57,Delhi,Headphones,Electronics,38109
165,Male,26,Bangalore,Handbag,Fashion,45980
166,Female,47,Chennai,Smartphone,Electronics,37000
167,Female,33,Bangalore,Milk,Grocery,51710
168,Male,37,Delhi,Shoes,Fashion,12579
169,Female,50,Hyderabad,Rice,Grocery,59621
170,Female,38,Hyderabad,Tennis Racket,Sports,52501
171,Female,40,Hyderabad,Jeans,Fashion,5396
172,Female,53,Hyderabad,Vegetables,Grocery,620
173,Female,22,Chennai,Cricket Bat,Sports,468
174,Female,37,Bangalore,Tennis Racket,Sports,5576
175,Female,20,Bangalore,Jeans,Fashion,34708
176,Female,59,Hyderabad,Handbag,Fashion,33338
177,Female,42,Delhi,Football,Sports,47251
178,Male,29,Mumbai,Jeans,Fashion,41640
179,Male,55,Chennai,Gym Gloves,Sports,44037
180,Female,28,Bangalore,Milk,Grocery,32455
181,Female,18,Chennai,Jacket,Fashion,32457
182,Female,55,Hyderabad,Tennis Racket,Sports,45519
183,Male,45,Delhi,Running Shoes,Sports,37552
184,Male,37,Delhi,Milk,Grocery,58211
185,Female,39,Chennai,Laptop,Electronics,57106
186,Female,27,Delhi,Tennis Racket,Sports,44127
187,Male,31,Hyderabad,Tennis Racket,Sports,43363
188,Female,36,Delhi,Snacks,Grocery,31246
189,Male,18,Delhi,Snacks,Grocery,39267
190,Male,60,Delhi,Rice,Grocery,853
191,Male,30,Chennai,Rice,Grocery,1106
192,Male,51,Chennai,Jeans,Fashion,30841
193,Female,39,Chennai,Headphones,Electronics,2960
194,Female,28,Hyderabad,Tablet,Electronics,46670
195,Female,41,Hyderabad,Running Shoes,Sports,16180
196,Male,54,Bangalore,Cricket Bat,Sports,47223
197,Male,57,Chennai,Football,Sports,10288
198,Female,27,Mumbai,Snacks,Grocery,39056
199,Female,25,Hyderabad,Vegetables,Grocery,33659
200,Male,24,Chennai,Smartphone,Electronics,27597
201,Female,25,Bangalore,T-shirt,Fashion,15992
202,Male,50,Hyderabad,T-shirt,Fashion,35368
203,Female,48,Hyderabad,T-shirt,Fashion,35789
204,Female,19,Hyderabad,Vegetables,Grocery,25153
205,Male,48,Hyderabad,Jacket,Fashion,20263
206,Female,30,Mumbai,Vegetables,Grocery,12712
207,Male,40,Hyderabad,Running Shoes,Sports,45995
208,Male,53,Delhi,Jacket,Fashion,40019
209,Male,52,Chennai,Rice,Grocery,58253
210,Male,20,Delhi,Tennis Racket,Sports,27636
211,Female,31,Chennai,Headphones,Electronics,21080
212,Male,38,Mumbai,Handbag,Fashion,3966
213,Female,37,Mumbai,Handbag,Fashion,23222
214,Female,34,Mumbai,Milk,Grocery,1756
215,Male,30,Delhi,Handbag,Fashion,24236
216,Male,43,Bangalore,Snacks,Grocery,39355
217,Male,23,Mumbai,Headphones,Electronics,33210
218,Female,58,Mumbai,Football,Sports,11075
219,Male,27,Bangalore,Smartwatch,Electronics,34089
220,Male,36,Mumbai,Smartwatch,Electronics,26063
221,Female,21,Chennai,Gym Gloves,Sports,36565
222,Male,38,Delhi,Headphones,Electronics,743
223,Female,22,Hyderabad,Running Shoes,Sports,52237
224,Female,49,Hyderabad,Milk,Grocery,56408
225,Female,51,Hyderabad,Rice,Grocery,33936
226,Female,46,Chennai,Milk,Grocery,9040
227,Female,23,Bangalore,Cricket Bat,Sports,12897
228,Male,25,Bangalore,Rice,Grocery,26977
229,Male,46,Delhi,Tennis Racket,Sports,18760
230,Female,24,Bangalore,Smartphone,Electronics,36651
231,Female,56,Hyderabad,Football,Sports,13246
232,Female,31,Delhi,Gym Gloves,Sports,25818
233,Female,25,Mumbai,Tablet,Electronics,38196
234,Female,27,Chennai,Headphones,Electronics,40052
235,Male,46,Hyderabad,Running Shoes,Sports,2298
236,Male,18,Bangalore,Smartwatch,Electronics,31881
237,Female,43,Chennai,Smartwatch,Electronics,31224
238,Female,37,Chennai,Vegetables,Grocery,1968
239,Male,35,Chennai,Laptop,Electronics,53050
240,Female,33,Mumbai,Smartwatch,Electronics,58621
241,Male,45,Bangalore,Shoes,Fashion,26098
242,Male,20,Delhi,Laptop,Electronics,17648
243,Male,34,Bangalore,Smartphone,Electronics,42574
244,Male,30,Bangalore,Jacket,Fashion,28377
245,Male,41,Mumbai,Smartwatch,Electronics,16965
246,Female,43,Hyderabad,Tennis Racket,Sports,402
247,Male,37,Mumbai,Laptop,Electronics,39969
248,Male,31,Mumbai,Laptop,Electronics,30809
249,Male,22,Hyderabad,T-shirt,Fashion,44827
250,Female,31,Hyderabad,Snacks,Grocery,7326
251,Female,59,Bangalore,Handbag,Fashion,35505
252,Male,32,Chennai,Shoes,Fashion,14340
253,Male,18,Delhi,Rice,Grocery,38777
254,Male,52,Bangalore,Tablet,Electronics,21013
255,Male,22,Hyderabad,Vegetables,Grocery,15766
256,Female,41,Mumbai,Vegetables,Grocery,32788
257,Female,26,Hyderabad,Football,Sports,16387
258,Female,20,Chennai,Smartphone,Electronics,20840
259,Male,38,Chennai,Snacks,Grocery,6336
260,Male,52,Delhi,Headphones,Electronics,44472
261,Male,54,Chennai,Tablet,Electronics,2617
262,Female,48,Delhi,Tablet,Electronics,58089
263,Male,48,Mumbai,Gym Gloves,Sports,59932
264,Female,40,Chennai,T-shirt,Fashion,22206
265,Female,52,Hyderabad,Jacket,Fashion,13492
266,Male,42,Hyderabad,Cricket Bat,Sports,44673
267,Female,24,Delhi,Cricket Bat,Sports,11388
268,Male,35,Bangalore,Shoes,Fashion,44732
269,Female,28,Bangalore,Running Shoes,Sports,32973
270,Female,54,Chennai,Cricket Bat,Sports,51316
271,Female,51,Hyderabad,Snacks,Grocery,9856
272,Male,22,Bangalore,Tennis Racket,Sports,5098
273,Female,45,Bangalore,Shoes,Fashion,13132
274,Female,60,Hyderabad,Smartwatch,Electronics,59163
275,Female,56,Hyderabad,Rice,Grocery,59300
276,Male,20,Mumbai,Handbag,Fashion,17138
277,Male,53,Chennai,Handbag,Fashion,12764
278,Male,51,Mumbai,Snacks,Grocery,11210
279,Female,57,Mumbai,Smartwatch,Electronics,36854
280,Female,60,Bangalore,Rice,Grocery,42845
281,Female,59,Bangalore,Headphones,Electronics,53186
282,Female,54,Delhi,Handbag,Fashion,13326
283,Male,20,Chennai,Vegetables,Grocery,3862
284,Female,19,Chennai,Running Shoes,Sports,21442
285,Female,22,Delhi,Fruits,Grocery,32703
286,Male,49,Mumbai,Jeans,Fashion,19401
287,Male,59,Bangalore,T-shirt,Fashion,45732
288,Female,60,Mumbai,Milk,Grocery,13461
289,Female,39,Chennai,Smartwatch,Electronics,58445
290,Male,45,Hyderabad,Snacks,Grocery,53463
291,Female,50,Chennai,Handbag,Fashion,17489
292,Male,27,Chennai,Smartphone,Electronics,29409
293,Male,59,Chennai,Headphones,Electronics,58002
294,Female,37,Mumbai,Milk,Grocery,12117
295,Female,34,Hyderabad,T-shirt,Fashion,41200
296,Male,32,Chennai,Laptop,Electronics,30399
297,Male,25,Chennai,Football,Sports,19853
298,Male,46,Bangalore,T-shirt,Fashion,45425
299,Male,38,Bangalore,Shoes,Fashion,57784
300,Female,42,Bangalore,Gym Gloves,Sports,6814
301,Female,38,Chennai,Snacks,Grocery,1084
302,Male,39,Bangalore,Milk,Grocery,34968
303,Male,30,Chennai,Gym Gloves,Sports,21867
304,Female,37,Mumbai,Rice,Grocery,49707
305,Female,19,Mumbai,Fruits,Grocery,14719
306,Male,42,Mumbai,Shoes,Fashion,55867
307,Female,21,Mumbai,Gym Gloves,Sports,32134
308,Male,44,Chennai,Tennis Racket,Sports,28855
309,Male,58,Delhi,Laptop,Electronics,23690
310,Male,26,Hyderabad,Tennis Racket,Sports,6809
311,Female,53,Mumbai,Rice,Grocery,20959
312,Female,57,Delhi,Shoes,Fashion,18860
313,Female,20,Delhi,Smartwatch,Electronics,25377
314,Male,34,Delhi,Fruits,Grocery,31266
315,Female,35,Chennai,Gym Gloves,Sports,6509
316,Male,59,Delhi,Vegetables,Grocery,46068
317,Female,59,Mumbai,Handbag,Fashion,5405
318,Male,59,Bangalore,Running Shoes,Sports,20284
319,Female,23,Chennai,Laptop,Electronics,41744
320,Female,35,Chennai,Tablet,Electronics,22681
321,Male,24,Delhi,Tennis Racket,Sports,51971
322,Male,57,Mumbai,Vegetables,Grocery,4918
323,Female,25,Chennai,Gym Gloves,Sports,28591
324,Female,49,Delhi,Handbag,Fashion,53894
325,Male,38,Mumbai,Gym Gloves,Sports,36462
326,Female,31,Chennai,Smartwatch,Electronics,49397
327,Female,34,Hyderabad,Jeans,Fashion,36937
328,Female,28,Mumbai,Cricket Bat,Sports,50926
329,Male,35,Chennai,T-shirt,Fashion,50027
330,Male,38,Mumbai,Laptop,Electronics,16848
331,Female,37,Hyderabad,Jeans,Fashion,35801
332,Female,32,Hyderabad,Cricket Bat,Sports,38402
333,Female,26,Bangalore,T-shirt,Fashion,23246
334,Male,50,Bangalore,Cricket Bat,Sports,30475
335,Female,45,Delhi,Smartphone,Electronics,6403
336,Female,33,Bangalore,Vegetables,Grocery,55187
337,Male,52,Chennai,Vegetables,Grocery,35851
338,Female,29,Chennai,Rice,Grocery,12536
339,Female,33,Hyderabad,Milk,Grocery,23054
340,Female,19,Hyderabad,Milk,Grocery,26553
341,Male,36,Delhi,Laptop,Electronics,20197
342,Male,43,Hyderabad,Fruits,Grocery,12001
343,Female,60,Delhi,Handbag,Fashion,16138
344,Female,49,Mumbai,Running Shoes,Sports,14461
345,Female,31,Delhi,Vegetables,Grocery,14049
346,Male,38,Chennai,Smartphone,Electronics,55189
347,Female,23,Bangalore,Football,Sports,22075
348,Female,30,Bangalore,T-shirt,Fashion,35887
349,Male,30,Chennai,Headphones,Electronics,59084
350,Female,34,Mumbai,Smartwatch,Electronics,12144
351,Female,30,Mumbai,Jeans,Fashion,15173
352,Female,37,Chennai,Cricket Bat,Sports,30168
353,Male,42,Hyderabad,Jacket,Fashion,27418
354,Male,58,Mumbai,Gym Gloves,Sports,58535
355,Male,19,Bangalore,Milk,Grocery,27984
356,Female,52,Delhi,Running Shoes,Sports,26551
357,Male,24,Chennai,Football,Sports,17578
358,Female,26,Mumbai,Smartwatch,Electronics,2124
359,Male,56,Mumbai,Milk,Grocery,5221
360,Female,39,Mumbai,Headphones,Electronics,45361
361,Female,22,Hyderabad,Laptop,Electronics,36633
362,Male,59,Bangalore,Snacks,Grocery,53466
363,Female,42,Bangalore,Cricket Bat,Sports,43408
364,Male,31,Hyderabad,Smartphone,Electronics,16202
365,Female,37,Mumbai,Tennis Racket,Sports,58533
366,Female,21,Hyderabad,Cricket Bat,Sports,3724
367,Male,18,Bangalore,Tablet,Electronics,19818
368,Male,55,Mumbai,Rice,Grocery,11717
369,Male,31,Mumbai,Tennis Racket,Sports,57878
370,Female,44,Delhi,Jacket,Fashion,1346
371,Male,57,Chennai,Milk,Grocery,17644
372,Male,47,Bangalore,Fruits,Grocery,28764
373,Male,50,Chennai,Fruits,Grocery,17773
374,Male,25,Delhi,Jeans,Fashion,1098
375,Female,46,Hyderabad,Headphones,Electronics,24721
376,Female,23,Delhi,Tablet,Electronics,13638
377,Female,46,Delhi,Snacks,Grocery,16068
378,Male,45,Mumbai,Football,Sports,21501
379,Female,40,Bangalore,Handbag,Fashion,46497
380,Male,53,Mumbai,Tennis Racket,Sports,34219
381,Male,52,Bangalore,Snacks,Grocery,42946
382,Male,47,Delhi,Fruits,Grocery,7088
383,Male,22,Delhi,Milk,Grocery,37295
384,Female,60,Hyderabad,Jacket,Fashion,50395
385,Female,32,Mumbai,Tennis Racket,Sports,39438
386,Female,39,Hyderabad,Jacket,Fashion,53996
387,Female,19,Chennai,Football,Sports,55002
388,Male,19,Mumbai,Jacket,Fashion,49962
389,Male,55,Mumbai,Handbag,Fashion,31047
390,Female,50,Chennai,Laptop,Electronics,22157
391,Male,44,Delhi,Rice,Grocery,59904
392,Female,46,Bangalore,Running Shoes,Sports,20388
393,Female,46,Chennai,Jeans,Fashion,16222
394,Female,24,Hyderabad,Laptop,Electronics,37067
395,Female,60,Chennai,Football,Sports,19939
396,Male,23,Chennai,Cricket Bat,Sports,22459
397,Male,49,Chennai,Milk,Grocery,32538
398,Female,20,Mumbai,Vegetables,Grocery,58057
399,Male,24,Mumbai,Tennis Racket,Sports,5707
400,Female,19,Bangalore,Football,Sports,38753
